config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
7,32,both,0.001,0.001,CausalSelfAttention,2.332419
7,33,both,0.001,0.001,CausalSelfAttention,2.332417
7,34,both,0.001,0.001,CausalSelfAttention,2.332415
7,35,both,0.001,0.001,CausalSelfAttention,2.332417
7,36,both,0.001,0.001,CausalSelfAttention,2.332417
7,37,both,0.001,0.001,CausalSelfAttention,2.332419
7,38,both,0.001,0.001,CausalSelfAttention,2.332419
7,39,both,0.001,0.001,CausalSelfAttention,2.332417
7,40,both,0.001,0.001,CausalSelfAttention,2.332416
7,41,both,0.001,0.001,CausalSelfAttention,2.332415
7,42,both,0.001,0.001,CausalSelfAttention,2.332418
7,43,both,0.001,0.001,CausalSelfAttention,2.332418
7,44,both,0.001,0.001,CausalSelfAttention,2.332416
7,45,both,0.001,0.001,CausalSelfAttention,2.332419
7,46,both,0.001,0.001,CausalSelfAttention,2.332416
7,47,both,0.001,0.001,CausalSelfAttention,2.332415
7,48,both,0.001,0.001,CausalSelfAttention,2.332418
7,49,both,0.001,0.001,CausalSelfAttention,2.332417
8,20,both,0.01,0.01,none,2.332414
8,21,both,0.01,0.01,none,2.332417
8,22,both,0.01,0.01,none,2.332417
8,23,both,0.01,0.01,none,2.33242
8,24,both,0.01,0.01,none,2.332419
8,25,both,0.01,0.01,none,2.332417
8,26,both,0.01,0.01,none,2.332417
8,27,both,0.01,0.01,none,2.332417
8,28,both,0.01,0.01,none,2.332419
8,29,both,0.01,0.01,none,2.332418
8,30,both,0.01,0.01,none,2.332418
8,31,both,0.01,0.01,none,2.332417
8,32,both,0.01,0.01,none,2.332417
8,33,both,0.01,0.01,none,2.33242
8,34,both,0.01,0.01,none,2.332416
8,35,both,0.01,0.01,none,2.332418
8,36,both,0.01,0.01,none,2.332417
8,37,both,0.01,0.01,none,2.332418
8,38,both,0.01,0.01,none,2.332417
8,39,both,0.01,0.01,none,2.33242
8,40,both,0.01,0.01,none,2.332415
8,41,both,0.01,0.01,none,2.332416
8,42,both,0.01,0.01,none,2.332419
8,43,both,0.01,0.01,none,2.332416
8,44,both,0.01,0.01,none,2.332419
8,45,both,0.01,0.01,none,2.332419
8,46,both,0.01,0.01,none,2.332414
8,47,both,0.01,0.01,none,2.332417
8,48,both,0.01,0.01,none,2.332418
8,49,both,0.01,0.01,none,2.332417
9,20,both,0.01,0.01,MLP,2.332419
9,21,both,0.01,0.01,MLP,2.332416
9,22,both,0.01,0.01,MLP,2.332415
9,23,both,0.01,0.01,MLP,2.332419
9,24,both,0.01,0.01,MLP,2.332417
9,25,both,0.01,0.01,MLP,2.332418
9,26,both,0.01,0.01,MLP,2.33242
9,27,both,0.01,0.01,MLP,2.33242
9,28,both,0.01,0.01,MLP,2.332415
9,29,both,0.01,0.01,MLP,2.332417
9,30,both,0.01,0.01,MLP,2.332419
9,31,both,0.01,0.01,MLP,2.332418
9,32,both,0.01,0.01,MLP,2.332416
9,33,both,0.01,0.01,MLP,2.332417
9,34,both,0.01,0.01,MLP,2.332417
9,35,both,0.01,0.01,MLP,2.332417
9,36,both,0.01,0.01,MLP,2.332417
9,37,both,0.01,0.01,MLP,2.33242
9,38,both,0.01,0.01,MLP,2.332417
9,39,both,0.01,0.01,MLP,2.332415
9,40,both,0.01,0.01,MLP,2.332419
9,41,both,0.01,0.01,MLP,2.332418
9,42,both,0.01,0.01,MLP,2.33242
9,43,both,0.01,0.01,MLP,2.332416
9,44,both,0.01,0.01,MLP,2.33242
9,45,both,0.01,0.01,MLP,2.332418
9,46,both,0.01,0.01,MLP,2.332417
9,47,both,0.01,0.01,MLP,2.332419
9,48,both,0.01,0.01,MLP,2.332416
9,49,both,0.01,0.01,MLP,2.332417
10,12,both,0.01,0.01,LayerNorm,2.332417
10,13,both,0.01,0.01,LayerNorm,2.332419
10,14,both,0.01,0.01,LayerNorm,2.332415
10,15,both,0.01,0.01,LayerNorm,2.332417
10,16,both,0.01,0.01,LayerNorm,2.332417
10,17,both,0.01,0.01,LayerNorm,2.332417
10,18,both,0.01,0.01,LayerNorm,2.332417
10,19,both,0.01,0.01,LayerNorm,2.332418
10,20,both,0.01,0.01,LayerNorm,2.332415
10,21,both,0.01,0.01,LayerNorm,2.332419
10,22,both,0.01,0.01,LayerNorm,2.332418
10,23,both,0.01,0.01,LayerNorm,2.332417
10,24,both,0.01,0.01,LayerNorm,2.332418
10,25,both,0.01,0.01,LayerNorm,2.332413
10,26,both,0.01,0.01,LayerNorm,2.332416
10,27,both,0.01,0.01,LayerNorm,2.332417
10,28,both,0.01,0.01,LayerNorm,2.332417
10,29,both,0.01,0.01,LayerNorm,2.332417
10,30,both,0.01,0.01,LayerNorm,2.332416
10,31,both,0.01,0.01,LayerNorm,2.332415
10,32,both,0.01,0.01,LayerNorm,2.33242
10,33,both,0.01,0.01,LayerNorm,2.332415
10,34,both,0.01,0.01,LayerNorm,2.332418
10,35,both,0.01,0.01,LayerNorm,2.332416
10,36,both,0.01,0.01,LayerNorm,2.332421
